CASEID,sharkbite,hunt_fish,scientists,education,ideology,urbanrural
204550,0,0,50,3,,city
204567,0,0,85,3,4,small town
204574,0,0,85,2,6,city
204581,,,,5,,
204598,0,0,100,7,2,city
204604,0,0,75,3,6,rural
204611,0,0,70,2,7,small town
204628,0,0,60,7,3,suburb
204642,0,0,100,7,2,suburb
204697,0,0,90,2,4,small town
204703,0,1,90,6,4,suburb
204710,0,0,85,6,4,suburb
204727,0,0,70,2,3,small town
204734,0,0,50,6,6,suburb
204741,0,0,50,1,4,suburb
204758,0,1,70,3,4,small town
204765,0,1,75,6,3,suburb
204772,0,0,60,2,4,small town
204789,0,0,60,6,6,city
204796,0,0,100,7,4,rural
204802,,,,2,,
204819,0,0,85,6,6,small town
204833,0,0,50,8,7,suburb
204840,,,,6,3,
204857,0,0,100,3,3,city
204864,0,1,100,5,6,rural
204871,0,0,100,3,6,suburb
204888,0,0,85,3,4,suburb
204895,0,0,85,4,5,small town
204901,0,0,40,3,6,city
204918,0,0,90,6,2,suburb
204925,0,0,100,3,5,small town
204932,0,0,70,6,6,suburb
204949,0,0,85,2,,small town
204963,0,0,100,7,5,city
204970,,,,6,5,
204987,0,0,70,6,5,suburb
204994,0,1,85,6,3,suburb
205003,1,1,100,2,3,suburb
205010,0,0,65,2,6,small town
205034,0,0,100,2,4,suburb
205041,0,0,85,4,,city
205058,0,0,95,7,6,rural
205065,0,1,100,7,3,suburb
205072,0,0,80,4,2,suburb
205089,0,0,85,7,3,city
205096,0,0,70,2,,rural
205102,0,1,50,2,7,rural
205119,0,0,100,2,4,rural
205133,0,0,85,7,4,rural
205140,0,0,70,3,,small town
205157,0,0,100,6,4,city
205171,0,0,95,6,2,suburb
205188,0,0,100,7,4,suburb
205195,0,0,85,7,1,city
205201,0,0,95,8,,suburb
205218,0,0,50,3,,small town
205249,,,,4,,
205256,0,0,85,2,7,small town
205263,0,0,50,6,,rural
205287,0,0,100,6,3,city
205294,0,0,100,7,3,suburb
205300,0,0,100,4,2,city
205317,0,0,75,7,3,city
205324,0,0,50,6,7,small town
205348,0,0,80,1,,suburb
205362,0,0,85,6,3,rural
205379,0,0,100,3,3,city
205393,0,1,70,3,1,city
